+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| spell_id |       spell_name       | level | casting_time |   duration    |  school   |       range        |                          components                          |                         description                          |                        upcast_effect                         | concentration | ritual |
|          |                        |       |              |               |           |                    |                                                              | ne. A creature in the area of more than one fiery burst is a |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ffected only once.The spell damages objects in the area and  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ignites flammable objects that aren't being worn or carried. |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 88       | Divine Word            | 7     | Bonus Action | Instantaneous | Evocation | 30 Ft.             | V                                                            | You utter a divine word, imbued with the power that shaped t |                                                              | 0             | 0      |
|          |                        |       |              |               |           |                    |                                                              | he world at the dawn of creation. Choose any number of creat |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ures you can see within range. Each creature that can hear y |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ou must make a Charisma saving throw. On a failed save, a cr |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | eature suffers an effect based on its current hit points:50  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | hit points or fewer: deafened for 1 minute40 hit points or f |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ewer: deafened and blinded for 10 minutes30 hit points or fe |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | wer: blinded, deafened, and stunned for 1 hour20 hit points  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | or fewer: killed instantlyRegardless of its current hit poin |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ts, a celestial, an elemental, a fey, or a fiend that fails  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | its save is forced back to its plane of origin (if it isn't  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | there already) and can't return to your current plane for 24 |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  hours by any means short of a wish spell.                   |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
